Website Date,Number of Dead
2014-01-06,1.0
2014-01-12,1.0
2014-01-14,1.0
2014-01-16,1.0
2014-01-17,1.0
2014-01-22,1.0
2014-01-24,1.0
2014-01-24,1.0
2014-01-25,1.0
2014-01-28,1.0
2014-01-29,1.0
2014-01-29,1.0
2014-02-11,1.0
2014-02-16,1.0
2014-02-16,1.0
2014-02-17,1.0
2014-02-18,1.0
2014-02-20,1.0
2014-02-21,1.0
2014-02-25,1.0
2014-03-04,1.0
2014-03-11,1.0
2014-03-13,1.0
2014-03-15,1.0
2014-03-15,1.0
2014-03-23,1.0
2014-03-26,1.0
2014-03-26,1.0
2014-03-30,1.0
2014-03-30,1.0
2014-03-30,1.0
2014-04-02,1.0
2014-04-10,1.0
2014-04-10,1.0
2014-04-14,1.0
2014-04-14,1.0
2014-04-14,1.0
2014-04-18,1.0
2014-04-23,1.0
2014-04-27,1.0
2014-04-27,1.0
2014-04-30,1.0
2014-05-01,1.0
2014-05-06,1.0
2014-05-08,1.0
2014-05-10,1.0
2014-05-13,1.0
2014-05-21,1.0
2014-05-22,1.0
2014-05-27,1.0
2014-05-28,1.0
2014-05-30,1.0
2014-05-30,1.0
2014-06-01,1.0
2014-06-03,1.0
2014-06-06,1.0
2014-06-09,1.0
2014-06-09,1.0
2014-06-10,1.0
2014-06-10,1.0
2014-06-12,1.0
2014-06-12,1.0
2014-06-12,1.0
2014-06-12,1.0
2014-06-13,1.0
2014-06-14,1.0
2014-06-14,1.0
2014-06-16,1.0
2014-06-18,1.0
2014-06-19,1.0
2014-06-19,1.0
2014-06-25,1.0
2014-06-28,1.0
2014-07-01,1.0
2014-07-02,1.0
2014-07-02,1.0
2014-07-05,1.0
2014-07-07,1.0
2014-07-10,1.0
2014-07-12,1.0
2014-07-13,1.0
2014-07-14,1.0
2014-07-17,1.0
2014-07-18,1.0
2014-07-24,1.0
2014-07-26,1.0
2014-07-27,1.0
2014-07-30,1.0
2014-07-30,1.0
2014-07-31,1.0
2014-08-01,1.0
2014-08-04,1.0
2014-08-05,1.0
2014-08-05,1.0
2014-08-05,1.0
2014-08-18,1.0
2014-08-21,1.0
2014-08-22,1.0
2014-08-25,1.0
2014-08-27,44.0
2014-09-03,1.0
2014-09-06,1.0
2014-09-07,1.0
2014-09-10,1.0
2014-09-10,1.0
2014-09-11,1.0
2014-09-12,1.0
2014-09-23,1.0
2014-09-25,1.0
2014-09-25,1.0
2014-09-26,1.0
2014-09-30,111.0
2014-01-02,1.0
2014-02-26,1.0
2014-03-27,1.0
2014-04-12,1.0
2014-04-15,1.0
2014-05-03,1.0
2014-06-17,1.0
2014-06-17,1.0
2014-07-06,1.0
2014-09-09,1.0
2014-10-01,1.0
2014-10-03,1.0
2014-10-09,1.0
2014-10-12,1.0
2014-10-15,1.0
2014-10-15,1.0
2014-10-19,1.0
2014-10-21,1.0
2014-10-24,1.0
2014-10-28,1.0
2014-10-29,1.0
2014-10-29,1.0
2014-10-30,1.0
2014-11-06,1.0
2014-11-10,1.0
2014-11-12,1.0
2014-11-16,1.0
2014-11-26,1.0
2014-11-27,1.0
2014-11-27,1.0
2014-11-27,1.0
2014-12-03,1.0
2014-12-06,1.0
2014-12-09,1.0
2014-12-13,1.0
2014-12-28,1.0
2014-12-28,1.0
2014-12-31,1.0
2014-03-30,1.0
2015-01-04,1.0
2015-01-09,1.0
2015-01-10,1.0
2015-01-25,1.0
2015-01-27,1.0
2015-01-27,1.0
2015-01-30,1.0
2015-02-06,1.0
2015-02-06,1.0
2015-02-18,1.0
2015-02-18,1.0
2015-02-21,1.0
2015-02-21,1.0
2015-02-23,1.0
2015-02-28,6.0
2015-03-06,1.0
2015-03-06,1.0
2015-03-06,1.0
2015-03-11,1.0
2015-03-17,1.0
2015-03-17,1.0
2015-03-17,1.0
2015-03-24,1.0
2015-03-26,1.0
2015-03-31,1.0
2015-04-06,1.0
2015-04-13,1.0
2015-04-13,1.0
2015-04-14,1.0
2015-04-15,1.0
2015-04-21,1.0
2015-04-23,1.0
2015-04-23,1.0
2015-04-24,1.0
2015-05-12,1.0
2015-05-18,1.0
2015-05-21,1.0
2015-05-22,1.0
2015-05-28,1.0
2015-05-28,1.0
2015-05-28,8.0
2015-05-28,
2015-05-30,1.0
2015-06-01,1.0
2015-06-01,1.0
2015-06-03,1.0
2015-06-08,1.0
2015-06-08,1.0
2015-06-10,1.0
2015-06-13,1.0
2015-06-16,1.0
2015-06-16,1.0
2015-06-16,1.0
2015-06-17,1.0
2015-06-17,1.0
2015-06-18,1.0
2015-06-18,1.0
2015-06-18,1.0
2015-06-20,1.0
2015-06-21,1.0
2015-06-22,1.0
2015-06-25,1.0
2015-06-27,1.0
2015-06-27,1.0
2015-06-28,1.0
2015-06-29,1.0
2015-06-30,1.0
2015-07-01,1.0
2015-07-01,1.0
2015-07-02,1.0
2015-07-04,1.0
2015-07-07,1.0
2015-07-09,1.0
2015-07-11,1.0
2015-07-14,1.0
2015-07-15,1.0
2015-07-16,1.0
2015-07-21,3.0
2015-07-28,2.0
2015-07-28,1.0
2015-07-28,1.0
