Incident year,Caribbean,Central America,Central America (P),Eastern Asia,Europe,Latin America / Caribbean (P),Middle Africa,Northern Africa,Northern America,South America,South America (P),Southern Africa,Southern Asia,Sub-Saharan Africa (P),Unknown,Western Africa
2014,0,20,0,0,0,283,0,0,0,1,0,0,0,0,0,0
2015,0,53,0,0,0,289,0,0,0,2,0,0,0,0,0,0
2016,2,125,0,0,0,271,0,0,0,2,0,0,0,0,3,0
2017,0,115,0,0,0,280,0,0,0,6,0,0,0,0,3,0
2018,2,162,0,0,0,272,0,0,0,2,0,0,3,0,3,0
2019,3,177,0,4,1,302,1,0,0,14,0,0,1,0,0,0
2020,7,161,0,0,0,281,0,0,0,15,0,1,0,0,0,0
2021,12,264,1,0,0,407,0,0,0,20,0,0,0,0,12,1
2022,15,296,6,0,1,291,1,1,2,28,7,0,1,1,2,0
2023,6,78,0,1,0,91,0,0,0,54,0,0,0,0,0,1
